1,"soloistName"
2,"Otto, Antoinette"
3,"Scharfenberg, William"
4,"Hill, Ureli Corelli"
5,"Derwort, G. H."
6,"Boucher, Alfred"
7,"Rosier, F. W."
8,"Horn, Charles Edward"
9,"Timm, Henry C."
10,"Lehman"
11,"Groneveldt, Theodore W."
12,"Hegelund, H. W."
13,"Woehning, F. C."
14,"No Soloist"
15,"Rakeman, Frederick"
16,"Wiese, Frederick"
17,"Loder, Edward"
18,"Gröneveldt, W. Theodore"
19,"Reiff, Anton, Sr."
20,"Trojsi, Gaetano"
21,"Wiegers, Louis"
22,"Castellan, Jeanne Anais"
23,"Kyle, John A."
24,"Johnson"
25,"Vieuxtemps, Henri"
26,"Valtellina"
27,"Ricci, Amalia"
28,"Sanquirico"
29,"De Luce"
30,"Munson"
31,"Massett, J. Schwartz"
32,"Arnoult"
33,"Mott"
34,"Lazare, Jenny"
35,"Wollenhauft, Hermann"
36,"Starck, F."
37,"Burke, Joseph"
38,"Northall, Julia"
39,"Dodworth, Allen"
40,"Dodworth, Harvey B."
41,"Pico"
42,"Beames"
43,"Boulard"
44,"Mayer"
45,"Ablamowicz"
46,"Heuckeroth, Charles"
47,"De Ribas"
48,"Liederkranz of the City of New York"
49,"Rapetti, M."
50,"Horn, C.E."
51,"Hoffman, Richard"
52,"Arthurson"
53,"Leach, S. L."
54,"Elena, Luigi"
55,"Eltz, Paul"
56,"Haase, Carl F.W."
57,"Schmitz, Henry"
58,"Dresel, Otto"
59,"Distin, and His Sons"
60,"Willy, J."
61,"Poppenberg"
62,"Jacoby, Charles W."
63,"Reitzel, F."
64,"Chorus"
65,"Jones, L. A."
66,"Noll, Joseph"
67,"Bristow, George Frederick"
68,"Reyer, H."
69,"Perkins, James W."
70,"Benedict, Jules"
71,"Bouchelle, Wallace"
72,"Appy, Henri"
73,"Mayer, Philip"
74,"Drescher, J. E."
75,"Goldschmidt, Otto"
76,"Ohlemann, L."
77,"Klein"
78,"Saar, William"
79,"Bostwick, Emma Gillingham"
80,"Eben, Felix J."
81,"Tourny, Mina"
82,"Tourny, Louisa"
83,"Eichhorn, Louis"
84,"Siedenburg"
85,"Julien, Paul"
86,"Root's Quartette Party"
87,"Jaques, Rosa"
88,"Gockel, August"
89,"Aptommas, Thomas"
90,"Hahn, C."
91,"Brainerd, Maria S."
92,"Schumann, Julius"
93,"Knaebel, Simon"
94,"Wallace, William Vincent"
95,"Wallace, W.V."
96,"Lehmann, Caroline"
97,"Kiefer, Xavier"
98,"Urso, Camilla"
99,"Schreiber, Louis"
100,"Stuart, Georgiana R."
101,"Satter, Gustave"
102,"Mendelssohn Union"
103,"Brinkerhoff, Clara"
104,"Unknown Soloist"
105,"Mason, William"
106,"Dingley, C. A."
107,"Feder, Otto"
108,"Mollenhauer, Edward"
109,"Mollenhauer, Friedrich"
110,"Badiali, Caesare"
111,"La Grange, Anna De"
112,"Doehler, William"
113,"Goldbeck, Robert"
114,"Johannsen Scheerer"
115,"Gottschalk, Louis Moreau"
116,"Guyon, Emile"
117,"Roode, Marie De"
118,"Milner, Annie"
119,"Mollenhauer, Henry"
120,"Labocetta"
121,"Johnson-Gräver, Madeleine"
122,"Gassier"
123,"Abella"
124,"D'Angri, Elena"
125,"Cooper, Henry C."
126,"Andem, Hattie"
127,"Matzka, George"
128,"Bergner, Frederick"
129,"Brannes, Charles"
130,"Arion Choral Society"
131,"Teutonia Choral Society"
132,"Wollenhaupt, Bruno"
133,"Couran, Marie Elina"
134,"Mills, Sebastian Bach"
135,"Inman, F."
136,"Stigelli, Giorgio"
137,"Napoleon, Arthur"
138,"Bishop, Anna"
139,"Colson"
140,"Centemeri, Pietro"
141,"Johannsen, Bertha"
142,"Zimmermann"
143,"Dummler Schroeder"
144,"Harmonic Society"
145,"Wooster, G. W."
146,"Stoepel, Helene"
147,"Brignoli, Pasquale"
148,"Susini, Augustino"
149,"Hinkley, Isabella"
150,"Parker, S. Lizzie"
151,"Rowcroft, Emma"
152,"Fay, Abby"
153,"Ridolfi, F."
154,"Hartmann, Ernst"
155,"Ludecus"
156,"Letsch, Frederick"
157,"Pattison, J. N."
158,"Thomas, J. B."
159,"Perring, J. Ernst"
160,"Kellogg, Clara Louise"
161,"Lorini, Virginia"
162,"Quint, Louis"
163,"Hermanns, Joseph"
164,"Rotter"
165,"Paulitsch"
166,"Lotti, William"
167,"Thomas, Theodore"
168,"Varian"
169,"Prume, Jehin"
170,"Wehli, James M."
171,"Poch, Carmelina"
172,"Dietz, Frederick, Sr."
173,"Seelig, Natalie"
174,"Wolfsohn, Carl"
175,"Boehm, Edward"
176,"Groschel, Sophie"
177,"Kopta, Wenzel"
178,"Steins, F."
179,"Mosenthal, Joseph"
180,"Topp, Alide"
181,"Smith, H.M."
182,"Mayer, Ella J."
183,"Hill, W. J."
184,"Duschnitz, M."
185,"Parepa-Rosa, Euphrosyne"
186,"Phillipps, Adelaide"
187,"Bull, Ole"
188,"Gazzaniga, Marietta"
189,"Albites"
190,"Jarvis, Charles H."
191,"Booth, Edwin"
192,"Siddons, Scott"
193,"Mehlig, Anna"
194,"Rietzel, F."
195,"Sohst, Adolf"
196,"Davison, Emily"
197,"Rosa, Carl"
198,"Candidus, William"
199,"Remmertz, Franz"
200,"Czillag, Rosa"
201,"Lichtmay, Louise"
202,"Krebs, Mary"
203,"Vandenhoff, George"
204,"Goepel, August H."
205,"Drewes, John"
206,"Friedrich, Louis"
207,"Liesegang, Adolph"
208,"Bergmann, Carl"
209,"Hoch, Andreas"
